product_name,price,source,product_url,image_url
"HP PRINTER black/coloured, scan,photocopy ,",Rs. 500,olx.in,https://www.olx.in/item/hp-printer-black-coloured-scan-photocopy-ID1mjAER.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/ajza6sdfh4f42-IN/image;s=144x108;in_;slot=1;filename=ajza6sdfh4f42-IN_.jpg
Excellent condition**selected laptops**Hp**DELL**LENOVO**available,Rs. 13499,olx.in,https://www.olx.in/item/excellent-conditionselected-laptopshpdelllenovoavailable-ID1mjAsn.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/trqr3t7jh4qv-IN/image;s=144x108;in_;slot=1;filename=trqr3t7jh4qv-IN_.jpg
Brand New Besten 1.5 HP Heavy duty Jet Pump with Warranty For Sale,Rs. 16000,olx.in,https://www.olx.in/item/brand-new-besten-1-5-hp-heavy-duty-jet-pump-with-warranty-for-sale-ID1mjAnD.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/694xo757lt61-IN/image;s=144x108;in_;slot=1;filename=694xo757lt61-IN_.jpg
Hp Z220 = Workstation i7 3rd gen 3.4ghz/16GB/500GB/1GB Quadro Graphic,Rs. 23000,olx.in,https://www.olx.in/item/hp-z220-workstation-i7-3rd-gen-3-4ghz-16gb-500gb-1gb-quadro-graphic-ID1jPaTf.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/e5emsu64dc362-IN/image;s=144x108;in_;slot=1;filename=e5emsu64dc362-IN_.jpg
Hp Compaq 15-s008TU Notebook (4th gen Ci3/4gb/,Rs. 16000,olx.in,https://www.olx.in/item/hp-compaq-15-s008tu-notebook-4th-gen-ci3-4gb-ID1mjAcj.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/82wtuestr2271-IN/image;s=144x108;in_;slot=1;filename=82wtuestr2271-IN_.jpg
HP Laptop Core i3 ONLY Rs.8500/- (4GB ram - 250GB HDD),Rs. 8500,olx.in,https://www.olx.in/item/hp-laptop-core-i3-only-rs-8500-4gb-ram-250gb-hdd-ID1mjAb7.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/zj9oqcflm5r91-IN/image;s=144x108;in_;slot=1;filename=zj9oqcflm5r91-IN_.jpg
"3YR HP20""led{inteli5,4gb,500GB K,M}i3/i5/i7 cpu LAPTOP avlbl PLZ CALL",Rs. 18499,olx.in,https://www.olx.in/item/3yr-hp20-ledinteli5-4gb-500gb-k-mi3-i5-i7-cpu-laptop-avlbl-plz-call-ID1mjAa7.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/x1p69n8qhi481-IN/image;s=144x108;in_;slot=1;filename=x1p69n8qhi481-IN_.jpg
Corporate Used Laptops**HP**DELL**LENOVO**variety of models available,Rs. 12499,olx.in,https://www.olx.in/item/corporate-used-laptopshpdelllenovovariety-of-models-available-ID1mjA9d.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/99kzfenbvr1g2-IN/image;s=144x108;in_;slot=1;filename=99kzfenbvr1g2-IN_.jpg
Workstations--HP Z800 --Dual xeon Hexa cr /32 gb ram /2GB grapjhic,Rs. 59500,olx.in,https://www.olx.in/item/workstations-hp-z800-dual-xeon-hexa-cr-32-gb-ram-2gb-grapjhic-ID1luNR7.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/09h2avz41nyn2-IN/image;s=144x108;in_;slot=1;filename=09h2avz41nyn2-IN_.jpg
"3YR HP19""led{corei3*4gb*500GB K,M}i3/i5/i7 cpu LAPTOP avlbl PLZ CALL W",Rs. 16499,olx.in,https://www.olx.in/item/3yr-hp19-ledcorei34gb500gb-k-mi3-i5-i7-cpu-laptop-avlbl-plz-call-w-ID1mjzZl.html#f6b2f31985,https://apollo-singapore.akamaized.net/v1/files/9bd7j1mryk7m1-IN/image;s=144x108;in_;slot=1;filename=9bd7j1mryk7m1-IN_.jpg
