product_name,price,source,product_url,image_url
Black Sleeve For MacBook Air 11 Inches by Robobull,"Rs. 2,999",amazon.in,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A01633882GUFMZKU2Q8FF&url=https%3A%2F%2Fwww.amazon.in%2FBlack-Sleeve-MacBook-Inches-Robobull%2Fdp%2FB07BWGQ6RJ%2Fref%3Dsr_1_17_sspa%3Fie%3DUTF8%26qid%3D1532870468%26sr%3D8-17-spons%26keywords%3Dmacbookair%26psc%3D1&qualifier=1532870468&id=2017214861182187&widgetName=sp_atf_next,https://images-eu.ssl-images-amazon.com/images/I/51dbZJnQr-L._AC_US218_.jpg
Tan Sleeve For MacBook Air 13 Inches by Robobull,"Rs. 2,999",amazon.in,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_2?ie=UTF8&adId=A0155844298GXNBYDZP0R&url=https%3A%2F%2Fwww.amazon.in%2FTan-Sleeve-MacBook-Inches-Robobull%2Fdp%2FB07CB4LB81%2Fref%3Dsr_1_18_sspa%3Fie%3DUTF8%26qid%3D1532870468%26sr%3D8-18-spons%26keywords%3Dmacbookair%26psc%3D1&qualifier=1532870468&id=2017214861182187&widgetName=sp_atf_next,https://images-eu.ssl-images-amazon.com/images/I/41t0SPyiKZL._AC_US218_.jpg
Saco Touchpad Protector for MacBook 13.3 Air,Rs. 250,amazon.in,https://www.amazon.in/Saco-Touchpad-Protector-MacBook-13-3/dp/B015KWFIX6/ref=sr_1_19?ie=UTF8&qid=1532870468&sr=8-19&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/51GGsp0yu9L._AC_US218_.jpg
Apple Mac Mini Dual-core i5 2.8GHz/8GB/1TB Fusion/Iris Graphics (MGEQ2HN/A),"Rs. 78,475",amazon.in,https://www.amazon.in/Apple-Dual-core-2-8GHz-Graphics-MGEQ2HN/dp/B00OW5YGTU/ref=sr_1_20?ie=UTF8&qid=1532870468&sr=8-20&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/21NOLciItHL._AC_US218_.jpg
Apple MJLQ2HN/A 15.4-inch Laptop (Core i7/16GB/256GB/Mac OS/Integrated Graphics),"Rs. 1,49,500",amazon.in,https://www.amazon.in/Apple-MJLQ2HN-15-4-inch-Integrated-Graphics/dp/B00YN5G3O0/ref=sr_1_21?ie=UTF8&qid=1532870468&sr=8-21&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/41U6lURExSL._AC_US218_.jpg
"Apple MacBook Pro MLH42HN/A 2017 15-inch Laptop (Core i7/16GB/512GB/Mac OS/Integrated Graphics), Space Grey","Rs. 2,20,990",amazon.in,https://www.amazon.in/Apple-MacBook-MLH42HN-Integrated-Graphics/dp/B01NBE92TF/ref=sr_1_22?ie=UTF8&qid=1532870468&sr=8-22&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/412EzX03iML._AC_US218_.jpg
Heartly Flip Thin Hard Shell Rugged Armor Back Case For MacBook Air 13'' inch (Model: A1369 / A1466) - Frame Purple,Rs. 919,amazon.in,https://www.amazon.in/Heartly-Shell-Rugged-Armor-MacBook/dp/B016IXBGE6/ref=sr_1_23?ie=UTF8&qid=1532870468&sr=8-23&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/31ioxbOFvyL._AC_US218_.jpg
"Go Crazzy Macbook Air 13"" 13.3 Inch Macbook Air Hard Case, 5 in 1 Rubberized Matte Finish Plastic Case with Keyboard Cover+ Screenguard +Anti-dust Plug+ Touchpad Protector for Macbook Air 13.3 Inch (A1369 and A1466) Wine Red","Rs. 1,099",amazon.in,https://www.amazon.in/Crazzy-Macbook-Air-13-3-Screenguard/dp/B01M7VZ279/ref=sr_1_24?ie=UTF8&qid=1532870468&sr=8-24&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/51-ZHxVlSJL._AC_US218_.jpg
"Moshi ClearGuard for MB Pro 17"",15"",13"" white(2009)MB air 13"" US Layout (99MO021901)","Rs. 1,820",amazon.in,https://www.amazon.in/Moshi-ClearGuard-whiteMB-Layout-99MO021901/dp/B001QKI2DA/ref=sr_1_25?ie=UTF8&qid=1532870468&sr=8-25&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/41DrPboU2wL._AC_US218_.jpg
Apple MPXX2HN/A 13.3-inch Laptop (Core i5/8GB/256GB/Mac OS/Integrated Graphics),"Rs. 1,44,113",amazon.in,https://www.amazon.in/Apple-MPXX2HN-13-3-inch-Integrated-Graphics/dp/B073QVNH9K/ref=sr_1_26?ie=UTF8&qid=1532870468&sr=8-26&keywords=macbookair,https://images-eu.ssl-images-amazon.com/images/I/4167-DaEyGL._AC_US218_.jpg
