,Address,Beds,Full Baths,Half Baths,Locality,Price,Sq. Feet,URL
0,7341 S Camino Bay,4,3,,Salt Lake City UT 84121,"$604,999","4,106",https://www.century21.com/real-estate/salt-lake-city-ut/LCUTSALTLAKECITY/?pdp=REN032622815
1,2558 S Elizabeth St E 2,2,2,,Salt Lake City UT 84106,"$400,000","1,700",https://www.century21.com/real-estate/salt-lake-city-ut/LCUTSALTLAKECITY/?pdp=REN032622740
2,521 E 5th Ave 206,2,1,1,Salt Lake City UT 84103,"$279,900","1,100",https://www.century21.com/real-estate/salt-lake-city-ut/LCUTSALTLAKECITY/?pdp=REN032622741
3,6165 W Cherry Springs Ct S,4,3,,West Valley City UT 84118,"$259,900","2,048",https://www.century21.com/real-estate/salt-lake-city-ut/LCUTSALTLAKECITY/?pdp=REN032622737
4,3552 W 5585 S,3,1,1,Taylorsville UT 84118,"$224,900","1,616",https://www.century21.com/real-estate/salt-lake-city-ut/LCUTSALTLAKECITY/?pdp=REN032622845
5,4781 S 4340 W,3,2,,Salt Lake City UT 84118,"$209,900","1,180",https://www.century21.com/real-estate/salt-lake-city-ut/LCUTSALTLAKECITY/?pdp=REN032622846
6,1450 W California S,3,1,,Salt Lake City UT 84104,"$185,000",882,https://www.century21.com/real-estate/salt-lake-city-ut/LCUTSALTLAKECITY/?pdp=REN032622919
7,5766 W Cape Cod Dr S,5,2,,West Valley City UT 84128,"$259,900","1,786",https://www.century21.com/real-estate/salt-lake-city-ut/LCUTSALTLAKECITY/?pdp=REN032622860
8,2855 E Lancaster Dr,5,3,,Salt Lake City UT 84108,"$769,000","4,160",https://www.century21.com/real-estate/salt-lake-city-ut/LCUTSALTLAKECITY/?pdp=REN032607361
9,6550 S 70 W,4,3,1,Murray UT 84107,"$320,000","1,950",https://www.century21.com/real-estate/salt-lake-city-ut/LCUTSALTLAKECITY/?pdp=REN032607433
10,4743 S Hidden Woods Ln,5,3,1,Murray UT 84107,"$765,000","4,518",https://www.century21.com/real-estate/salt-lake-city-ut/LCUTSALTLAKECITY/?pdp=REN032596817
11,2321 E John Holliday Ct S,3,2,1,Holladay UT 84117,"$599,900","3,716",https://www.century21.com/real-estate/salt-lake-city-ut/LCUTSALTLAKECITY/?pdp=REN032597044
12,7942 S Chadbourne Dr E,6,6,,Cottonwood Heights UT 84121,"$438,000","2,520",https://www.century21.com/real-estate/salt-lake-city-ut/LCUTSALTLAKECITY/?pdp=REN032597047
13,6348 S Clay Park Dr W,5,3,1,Murray UT 84107,"$359,900","2,224",https://www.century21.com/real-estate/salt-lake-city-ut/LCUTSALTLAKECITY/?pdp=REN032596914
14,3378 S Shady Tree Ct E 15,2,2,1,Salt Lake City UT 84106,"$319,900","1,632",https://www.century21.com/real-estate/salt-lake-city-ut/LCUTSALTLAKECITY/?pdp=REN032596918
15,1471 S Roberta St,3,2,,Salt Lake City UT 84115,"$315,000","1,560",https://www.century21.com/real-estate/salt-lake-city-ut/LCUTSALTLAKECITY/?pdp=REN032596825
16,6022 W 3280 S,4,2,,West Valley City UT 84128,"$284,500","1,766",https://www.century21.com/real-estate/salt-lake-city-ut/LCUTSALTLAKECITY/?pdp=REN032596986
17,5471 S 3535 W,3,1,1,Taylorsville UT 84118,"$265,000","1,452",https://www.century21.com/real-estate/salt-lake-city-ut/LCUTSALTLAKECITY/?pdp=REN032596977
18,3722 S Royal Scott,4,2,,West Valley City UT 84128,"$249,900","2,264",https://www.century21.com/real-estate/salt-lake-city-ut/LCUTSALTLAKECITY/?pdp=REN032596743
19,5224 W 3500 S,6,2,,West Valley City UT 84120,"$249,900","2,254",https://www.century21.com/real-estate/salt-lake-city-ut/LCUTSALTLAKECITY/?pdp=REN032596919
